ProductID,Product Name,Sub-Category,Category
FUR-BO-4861,"Ikea Library with Doors, Mobile",Bookcases,Furniture
OFF-SU-2988,"Acme Scissors, Easy Grip",Supplies,Office Supplies
TEC-MA-4211,"Epson Receipt Printer, White",Machines,Technology
FUR-FU-5726,"Rubbermaid Door Stop, Erganomic",Furnishings,Furniture
OFF-EN-3664,"Cameo Interoffice Envelope, with clear poly window",Envelopes,Office Supplies
FUR-TA-3420,"Bevis Conference Table, Fully Assembled",Tables,Furniture
FUR-BO-3626,"Bush Classic Bookcase, Pine",Bookcases,Furniture
FUR-CH-4683,"Hon Rocking Chair, Red",Chairs,Furniture
TEC-PH-5814,"Samsung Audio Dock, VoIP",Phones,Technology
TEC-PH-3129,"Apple Audio Dock, VoIP",Phones,Technology
FUR-TA-3780,"Chromcraft Wood Table, with Bottom Storage",Tables,Furniture
OFF-AP-4747,"Hoover Toaster, Red",Appliances,Office Supplies
TEC-CO-4588,"Hewlett Personal Copier, High-Speed",Copiers,Technology
FUR-CH-4523,"Harbour Creations Chairmat, Black",Chairs,Furniture
OFF-ST-6068,"Smead Trays, Wire Frame",Storage,Office Supplies
FUR-TA-3758,"Chromcraft Coffee Table, with Bottom Storage",Tables,Furniture
TEC-PH-5251,"Motorola Headset, Cordless",Phones,Technology
OFF-ST-5708,"Rogers Shelving, Wire Frame",Storage,Office Supplies
FUR-FU-5727,"Rubbermaid Frame, Black",Furnishings,Furniture
TEC-PH-5812,"Samsung Audio Dock, Cordless",Phones,Technology
OFF-PA-5890,"SanDisk Parchment Paper, 8.5 x 11",Paper,Office Supplies
TEC-AC-4156,"Enermax Keyboard, Erganomic",Accessories,Technology
OFF-AR-3457,"BIC Markers, Easy-Erase",Art,Office Supplies
TEC-AC-4178,"Enermax Numeric Keypad, Bluetooth",Accessories,Technology
OFF-ST-4028,"Eldon Box, Blue",Storage,Office Supplies
OFF-AR-3484,"Binney & Smith Highlighters, Water Color",Art,Office Supplies
OFF-SU-2966,"Acme Box Cutter, High Speed",Supplies,Office Supplies
TEC-AC-5217,"Memorex Mouse, Erganomic",Accessories,Technology
OFF-PA-6609,"Xerox Memo Slips, 8.5 x 11",Paper,Office Supplies
OFF-BI-3256,"Avery Binding Machine, Durable",Binders,Office Supplies
OFF-SU-2967,"Acme Box Cutter, Serrated",Supplies,Office Supplies
OFF-BI-4807,"Ibico Binder Covers, Clear",Binders,Office Supplies
OFF-BI-6371,"Wilson Jones 3-Hole Punch, Economy",Binders,Office Supplies
OFF-EN-5039,"Kraft Manila Envelope, Set of 50",Envelopes,Office Supplies
OFF-LA-4529,"Harbour Creations Color Coded Labels, Laser Printer Compatible",Labels,Office Supplies
OFF-BI-3247,"Avery Binder Covers, Durable",Binders,Office Supplies
OFF-AR-3494,"Binney & Smith Pencil Sharpener, Water Color",Art,Office Supplies
OFF-BI-6376,"Wilson Jones Binder Covers, Economy",Binders,Office Supplies
FUR-FU-3930,"Deflect-O Clock, Durable",Furnishings,Furniture
FUR-FU-3941,"Deflect-O Frame, Duo Pack",Furnishings,Furniture
OFF-FA-5482,"OIC Staples, Bulk Pack",Fasteners,Office Supplies
OFF-LA-5389,"Novimex Legal Exhibit Labels, Alphabetical",Labels,Office Supplies
OFF-PA-3995,"Eaton Memo Slips, Multicolor",Paper,Office Supplies
OFF-FA-5467,"OIC Paper Clips, 12 Pack",Fasteners,Office Supplies
TEC-AC-5135,"Logitech Router, Erganomic",Accessories,Technology
FUR-FU-5724,"Rubbermaid Door Stop, Duo Pack",Furnishings,Furniture
OFF-PA-3990,"Eaton Computer Printout Paper, 8.5 x 11",Paper,Office Supplies
TEC-AC-5219,"Memorex Mouse, USB",Accessories,Technology
OFF-EN-3661,"Cameo Interoffice Envelope, Recycled",Envelopes,Office Supplies
OFF-BI-6377,"Wilson Jones Binder Covers, Recycled",Binders,Office Supplies
OFF-AR-6117,"Stanley Markers, Water Color",Art,Office Supplies
OFF-LA-4534,"Harbour Creations File Folder Labels, Adjustable",Labels,Office Supplies
TEC-PH-3818,"Cisco Speaker Phone, with Caller ID",Phones,Technology
FUR-FU-4084,"Eldon Photo Frame, Duo Pack",Furnishings,Furniture
TEC-MA-6138,"StarTech Card Printer, White",Machines,Technology
OFF-AR-3481,"Binney & Smith Highlighters, Blue",Art,Office Supplies
OFF-BI-3189,"Avery 3-Hole Punch, Recycled",Binders,Office Supplies
OFF-AR-5910,"Sanford Highlighters, Blue",Art,Office Supplies
TEC-PH-3787,"Cisco Audio Dock, with Caller ID",Phones,Technology
OFF-AR-3544,"Boston Pencil Sharpener, Fluorescent",Art,Office Supplies
OFF-ST-6274,"Tenex Shelving, Single Width",Storage,Office Supplies
OFF-ST-4253,"Fellowes Box, Wire Frame",Storage,Office Supplies
FUR-BO-3903,"Dania Library with Doors, Pine",Bookcases,Furniture
OFF-ST-4263,"Fellowes Folders, Single Width",Storage,Office Supplies
TEC-MA-5508,"Okidata Phone, White",Machines,Technology
OFF-LA-4554,"Harbour Creations Shipping Labels, Alphabetical",Labels,Office Supplies
OFF-BI-6404,"Wilson Jones Index Tab, Economy",Binders,Office Supplies
TEC-MA-4197,"Epson Inkjet, Durable",Machines,Technology
FUR-BO-3901,"Dania Library with Doors, Metal",Bookcases,Furniture
OFF-ST-4081,"Eldon Lockers, Wire Frame",Storage,Office Supplies
